AtomicNumber,AtomicWeight,Name,Symbol,Group,NobleGasConfig,Period,Block,Electronegativity
1,1.008,Hydrogen,H,1,1s1,1,s,2.20
2,4.0026,Helium,He,18,1s2,1,s,
3,6.94,Lithium,Li,1,[He] 2s1,2,s,0.98
4,9.0122,Beryllium,Be,2,[He] 2s2,2,s,1.57
5,10.81,Boron,B,13,[He]2s²2p,2,p-block,2.04
6,12.011,Carbon,C,14,[He]2s²2p²,2,p-block,2.55
7,14.007,Nitrogen,N,15,[He]2s²2p³,2,p-block,3.04
8,15.999,Oxygen,O,16,[He]2s²2p⁴,2,p-block,3.44
9,18.998,Fluorine,F,17,[He]2s²2p⁵,2,p-block,3.98
10,20.18,Neon,Ne,18,[He]2s²2p⁶,2,p-block,0
11,22.989,Sodium,Na,1,[Ne]3s,3,s-block,0.93
12,24.305,Magnesium,Mg,2,[Ne]3s²,3,s-block,1.31
13,26.981,Aluminum,Al,13,[Ne]3s²3p,3,p-block,1.61
14,28.085,Silicon,Si,14,[Ne]3s²3p²,3,p-block,1.9
15,30.973,Phosphorus,P,15,[Ne]3s²3p³,3,p-block,2.19
16,32.06,Sulfur,S,16,[Ne]3s²3p⁴,3,p-block,2.58
17,35.45,Chlorine,Cl,17,[Ne]3s²3p⁵,3,p-block,3.16
18,39.95,Argon,Ar,18,[Ne]3s²3p⁶,3,p-block,0
19,39.098,Potassium,K,1,[Ar]4s,4,s-block,0.82
20,40.078,Calcium,Ca,2,[Ar]4s²,4,s-block,1
21,44.955,Scandium,Sc,3,[Ar]3d4s²,4,d-block,1.36
22,47.867,Titanium,Ti,4,[Ar]3d²4s²,4,d-block,1.54
23,50.942,Vanadium,V,5,[Ar]3d³4s²,4,d-block,1.63
24,51.996,Chromium,Cr,6,[Ar]3d⁵4s,4,d-block,1.66
25,54.938,Manganese,Mn,7,[Ar]3d⁵4s²,4,d-block,1.55
26,55.845,Iron,Fe,8,[Ar]3d⁶4s²,4,d-block,1.83
27,58.933,Cobalt,Co,9,[Ar]3d⁷4s²,4,d-block,1.88
28,58.693,Nickel,Ni,10,[Ar]3d⁸4s²,4,d-block,1.91
29,63.546,Copper,Cu,11,[Ar]3d¹⁰4s,4,d-block,1.9
30,65.38,Zinc,Zn,12,[Ar]3d¹⁰4s²,4,d-block,1.65
31,69.723,Gallium,Ga,13,[Ar]3d¹⁰4s²4p,4,p-block,1.81
32,72.63,Germanium,Ge,14,[Ar]3d¹⁰4s²4p²,4,p-block,2.01
33,74.921,Arsenic,As,15,[Ar]3d¹⁰4s²4p³,4,p-block,2.18
34,78.971,Selenium,Se,16,[Ar]3d¹⁰4s²4p⁴,4,p-block,2.55
35,79.904,Bromine,Br,17,[Ar]3d¹⁰4s²4p⁵,4,p-block,2.96
36,83.798,Krypton,Kr,18,[Ar]3d¹⁰4s²4p⁶,4,p-block,3
37,85.468,Rubidium,Rb,1,[Kr]5s,5,s-block,0.82
38,87.62,Strontium,Sr,2,[Kr]5s²,5,s-block,0.95
39,88.905,Yttrium,Y,3,[Kr]5s²4d,5,d-block,1.22
40,91.224,Zirconium,Zr,4,[Kr]5s²4d²,5,d-block,1.33
41,92.906,Niobium,Nb,5,[Kr]5s4d⁴,5,d-block,1.6
42,95.95,Molybdenum,Mo,6,[Kr]5s4d⁵,5,d-block,2.16
43,97,Technetium,Tc,7,[Kr]5s²4d⁵,5,d-block,1.9
44,101.07,Ruthenium,Ru,8,[Kr]5s4d⁷,5,d-block,2.2
45,102.905,Rhodium,Rh,9,[Kr]5s4d⁸,5,d-block,2.28
46,106.42,Palladium,Pd,10,[Kr]4d¹⁰,5,d-block,2.2
47,107.868,Silver,Ag,11,[Kr]5s4d¹⁰,5,d-block,1.93
48,112.414,Cadmium,Cd,12,[Kr]5s²4d¹⁰,5,d-block,1.69
49,114.818,Indium,In,13,[Kr]5s²4d¹⁰5p,5,p-block,1.78
50,118.71,Tin,Sn,14,[Kr]5s²4d¹⁰5p²,5,p-block,1.96
51,121.76,Antimony,Sb,15,[Kr]5s²4d¹⁰5p³,5,p-block,2.05
52,127.6,Tellurium,Te,16,[Kr]5s²4d¹⁰5p⁴,5,p-block,2.1
53,126.904,Iodine,I,17,[Kr]5s²4d¹⁰5p⁵,5,p-block,2.66
54,131.293,Xenon,Xe,18,[Kr]5s²4d¹⁰5p⁶,5,p-block,2.6
55,132.905,Cesium,Cs,1,[Xe]6s,6,s-block,0.79
56,137.327,Barium,Ba,2,[Xe]6s²,6,s-block,0.89
57,138.905,Lanthanum,La,3,[Xe]5d6s²,6,f-block,1.1
58,140.116,Cerium,Ce,101,[Xe]p⁶5d6s²,6,f-block,1.12
59,140.907,Praseodymium,Pr,101,[Xe]5p⁶6s²,6,f-block,1.13
60,144.242,Neodymium,Nd,101,[Xe]5p⁶6s²,6,f-block,1.14
61,145,Promethium,Pm,101,[Xe]5p⁶6s²,6,f-block,1.13
62,150.36,Samarium,Sm,101,[Xe]5p⁶6s²,6,f-block,1.17
63,151.964,Europium,Eu,101,[Xe]5p⁶6s²,6,f-block,1.2
64,157.25,Gadolinium,Gd,101,[Xe]5p⁶5d6s²,6,f-block,1.2
65,158.925,Terbium,Tb,101,[Xe]5p⁶6s²,6,f-block,1.2
66,162.5,Dysprosium,Dy,101,[Xe]⁰5p⁶6s²,6,f-block,1.22
67,164.93,Holmium,Ho,101,[Xe]¹5p⁶6s²,6,f-block,1.23
68,167.259,Erbium,Er,101,[Xe]²5p⁶6s²,6,f-block,1.24
69,168.934,Thulium,Tm,101,[Xe]³5p⁶6s²,6,f-block,1.25
70,173.045,Ytterbium,Yb,101,[Xe]⁴5p⁶6s²,6,f-block,1.1
71,174.967,Lutetium,Lu,101,[Xe]⁴5p⁶5d6s²,6,d-block,1.27
72,178.486,Hafnium,Hf,4,[Xe]⁴5p⁶5d²6s²,6,d-block,1.3
73,180.947,Tantalum,Ta,5,[Xe]⁴5p⁶5d³6s²,6,d-block,1.5
74,183.84,Tungsten,W,6,[Xe]⁴5p⁶5d⁴6s²,6,d-block,2.36
75,186.207,Rhenium,Re,7,[Xe]⁴5p⁶5d⁵6s²,6,d-block,1.9
76,190.23,Osmium,Os,8,[Xe]⁴5p⁶5d⁶6s²,6,d-block,2.2
77,192.217,Iridium,Ir,9,[Xe]⁴5p⁶5d⁷6s²,6,d-block,2.2
78,195.084,Platinum,Pt,10,[Xe]⁴5p⁶5d⁸6s²,6,d-block,2.28
79,196.966,Gold,Au,11,[Xe]⁴5p⁶5d⁹6s²,6,d-block,2.54
80,200.592,Mercury,Hg,12,[Xe]⁴5p⁶5d¹⁰6s²,6,d-block,2
81,204.38,Thallium,Tl,13,[Xe]⁴5p⁶5d¹⁰6s²6p,6,p-block,1.62
82,207.2,Lead,Pb,14,[Xe]⁴5p⁶5d¹⁰6s²6p²,6,p-block,1.87
83,208.98,Bismuth,Bi,15,[Xe]⁴5p⁶5d¹⁰6s²6p³,6,p-block,2.02
84,209,Polonium,Po,16,[Xe]⁴5p⁶5d¹⁰6s²6p⁴,6,p-block,2
85,210,Astatine,At,17,[Xe]⁴5p⁶5d¹⁰6s²6p⁵,6,p-block,2.2
86,222,Radon,Rn,18,[Xe]⁴5p⁶5d¹⁰6s²6p⁶,6,p-block,2.2
87,223,Francium,Fr,1,[Rn]7s,7,s-block,0.79
88,226,Radium,Ra,2,[Rn]7s²,7,s-block,0.9
89,227,Actinium,Ac,3,[Rn]6d7s²,7,f-block,1.1
90,232.038,Thorium,Th,102,[Rn]6d²7s²,7,f-block,1.3
91,231.035,Protactinium,Pa,102,[Rn]6p⁶6d7s²,7,f-block,1.5
92,238.028,Uranium,U,102,[Rn]6p⁶6d7s²,7,f-block,1.38
93,237,Neptunium,Np,102,[Rn]6p⁶6d7s²,7,f-block,1.36
94,244,Plutonium,Pu,102,[Rn]6p⁶7s²,7,f-block,1.28
95,243,Americium,Am,102,[Rn]6p⁶7s²,7,f-block,1.13
96,247,Curium,Cm,102,[Rn]6p⁶6d7s²,7,f-block,1.28
97,247,Berkelium,Bk,102,[Rn]6p⁶7s²,7,f-block,1.3
98,251,Californium,Cf,102,[Rn]²6p⁶7s²,7,f-block,1.3
99,252,Einsteinium,Es,102,[Rn]²6p⁶7s²,7,f-block,1.3
100,257,Fermium,Fm,102,[Rn]²6p⁶7s²,7,f-block,0
101,258,Mendelevium,Md,102,[Rn]²6p⁶7s²,7,f-block,1.3
102,259,Nobelium,No,102,[Rn]²6p⁶7s²,7,f-block,1.3
103,262,Lawrencium,Lr,102,[Rn]²6p⁶7s²7p,7,d-block,1.3
104,267,Rutherfordium,Rf,4,[Rn]²6p⁶6d²7s²,7,d-block,0
105,270,Dubnium,Db,5,[Rn]²6p⁶6d³7s²,7,d-block,0
106,269,Seaborgium,Sg,6,[Rn]²6p⁶6d⁴7s²,7,d-block,0
107,270,Bohrium,Bh,7,[Rn]²6p⁶6d⁵7s²,7,d-block,0
108,0,Hassium,Hs,8,[Rn]²6p⁶6d⁶7s²,7,d-block,0
109,0,Meitnerium,Mt,9,[Rn]²6p⁶7s²,7,d-block,0
110,0,Darmstadtium,Ds,,[Rn]²6p⁶7s²,7,d-block,0
111,0,Roentgenium,Rg,,[Rn]²6p⁶7s²,7,d-block,0
112,0,Copernicium,Cn,,[Rn]²6p⁶7s²,7,d-block,0
113,0,Nihonium,Nh,,[Rn]²6p⁶7s²,7,p-block,0
114,0,Flerovium,Fl,,[Rn]²6p⁶7s²,7,p-block,0
115,0,Moscovium,Mc,,[Rn]²6p⁶7s²,7,p-block,0
116,0,Livermorium,Lv,,[Rn]²6p⁶7s²,7,p-block,0
117,0,Tennessine,Ts,,[Rn]²6p⁶7s²,7,p-block,0
